tig50, qpua_pk50, sea, co
82.529686,379.795715,39.947853,0.019634
82.611084,379.471130,39.944347,0.019633
82.692352,379.146423,39.940861,0.019633
82.773491,378.821442,39.937393,0.019632
82.854515,378.496307,39.933945,0.019632
82.935440,378.171021,39.930511,0.019631
83.016228,377.845520,39.927094,0.019631
83.096886,377.519775,39.923695,0.019630
83.177422,377.193848,39.920311,0.019630
83.257843,376.867706,39.916939,0.019629
83.338135,376.541382,39.913589,0.019629
83.418327,376.214813,39.910255,0.019628
83.498398,375.888031,39.906937,0.019628
83.578339,375.561005,39.903633,0.019627
83.658165,375.233795,39.900349,0.019627
83.737869,374.906311,39.897079,0.019626
83.817467,374.578613,39.893822,0.019626
83.896942,374.250641,39.890579,0.019625
83.976311,373.922455,39.887356,0.019625
84.055550,373.594025,39.884148,0.019624
84.134689,373.265350,39.880951,0.019624
84.213722,372.936371,39.877769,0.019623
84.292633,372.607178,39.874607,0.019623
84.371429,372.277679,39.871460,0.019622
84.450127,371.947968,39.868324,0.019622
84.528702,371.617889,39.865200,0.019621
84.607178,371.287567,39.862091,0.019621
84.685562,370.956970,39.859001,0.019620
84.763832,370.626068,39.855923,0.019620
84.842010,370.294922,39.852859,0.019619
84.920067,369.963379,39.849812,0.019619
84.998047,369.631592,39.846775,0.019618
85.075920,369.299500,39.843750,0.019618
85.153687,368.967072,39.840740,0.019617
85.231369,368.634338,39.837749,0.019617
85.308975,368.301239,39.834766,0.019616
85.386459,367.967804,39.831799,0.019616
85.463875,367.634094,39.828842,0.019615
85.541199,367.299988,39.825897,0.019615
85.618439,366.965576,39.822971,0.019614
85.695595,366.630798,39.820053,0.019614
85.772675,366.295593,39.817150,0.019614
85.849670,365.960052,39.814259,0.019613
85.926605,365.624146,39.811382,0.019613
86.003464,365.287872,39.808517,0.019612
86.080231,364.951172,39.805664,0.019612
86.156952,364.614136,39.802822,0.019611
86.233604,364.276672,39.799995,0.019611
86.310181,363.938782,39.797180,0.019610
